target_id	length	eff_length	est_counts	tpm
ENST00000417651.1	2148	1852.82	0	0
ENST00000422638.1	498	215.261	0	0
ENST00000445180.2	1519	1223.82	0	0
ENST00000441046.1	551	267.737	0	0
ENST00000427319.1	507	224.196	0	0
ENST00000420354.1	481	198.386	0	0
ENST00000414532.6	3925	5693.23	307.832	4.07596
ENST00000454613.1	2131	3011.77	81.3296	2.03564
ENST00000414763.1	887	1162.02	15.7432	1.0213
ENST00000443076.1	454	171.512	18.0948	7.95305
ENST00000440358.1	444	161.561	0	0
ENST00000430320.3	1108	661.304	11.002	1.25413
ENST00000635357.1	808	513.248	0	0
ENST00000635044.1	948	652.955	0	0
ENST00000635288.1	1095	666.726	0.000156941	1.77445e-05
ENST00000634319.1	1088	792.822	0	0
ENST00000635009.1	1235	707.515	0	0
ENST00000634587.1	1172	876.822	0	0
ENST00000634980.1	1063	720.291	0	0
ENST00000438790.1	446	163.529	0	0
ENST00000431202.1	1747	1396.19	360.393	19.4583
ENST00000430143.1	439	156.624	0	0
ENST00000412068.1	2741	3141.68	1291.36	30.9855
ENST00000417514.1	1122	981.666	205.463	15.7777
ENST00000563427.1	354	73.7198	304.66	311.533
ENST00000435872.1	591	307.511	0	0
ENST00000623791.3	695	402.64	0	0
ENST00000610043.5	900	605.135	0	0
ENST00000609625.5	760	465.756	0	0
ENST00000609549.5	829	534.248	0	0
ENST00000608332.5	599	315.356	0	0
ENST00000623425.3	667	375.796	0	0
ENST00000585660.5	700	560.506	0	0
ENST00000591592.5	578	393.186	1.12338	0.215378
ENST00000608246.5	686	500.156	0	0
ENST00000608888.5	623	338.281	0	0
ENST00000610216.5	695	402.64	0	0
ENST00000607926.5	747	453.153	0	0
ENST00000585413.5	845	777.817	5.15243	0.499354
ENST00000609033.5	813	626.856	1.09663	0.131876
ENST00000589462.5	791	633.627	0	0
ENST00000624388.3	610	326.037	0	0
ENST00000593188.5	676	498.725	0	0
ENST00000609373.5	693	507.96	0	0
ENST00000587445.5	714	507.504	0	0
ENST00000591929.5	872	818.913	3.80093	0.349885
ENST00000609338.3	573	388.011	2.82664	0.549161
ENST00000445166.1	362	81.6572	0	0
ENST00000623786.2	728	435.311	0	0
ENST00000588288.1	511	228.196	0	0
ENST00000581333.1	480	197.406	33.8855	12.9398
ENST00000527035.1	537	353.252	3	0.640192
ENST00000453837.1	2257	2560.19	77.9268	2.29451
ENST00000602889.1	587	302.265	6.75519	1.68471
ENST00000447478.1	517	234.105	88.7522	28.5787
ENST00000366152.3	624	451.824	122.007	20.3559
ENST00000515055.1	667	367.35	1645	337.567
ENST00000373604.4	642	458.561	9.42714	1.54973
ENST00000421616.1	786	854.958	23.5729	2.07846
ENST00000448134.1	687	540.137	5	0.697814
ENST00000421619.1	395	113.782	7.15298	4.73903
ENST00000633169.1	911	1915.84	48.1562	1.89482
ENST00000623226.1	375	294.633	22.6535	5.79601
ENST00000427524.1	1680	1280.37	22723	1337.84
ENST00000622988.1	1360	1350.6	5	0.279072
ENST00000624339.1	3448	4479.17	313.542	5.27682
ENST00000602618.1	469	186.406	2	0.808806
ENST00000627421.1	836	541.248	0	0
ENST00000588828.1	791	496.297	0	0
ENST00000624453.3	856	561.248	0	0
ENST00000630229.1	870	575.248	0	0
ENST00000457957.2	636	349.584	0	0
ENST00000587696.2	1432	1197.41	10	0.629549
ENST00000625117.1	424	141.758	0	0
ENST00000624012.1	1047	810.645	566.9	52.7168
ENST00000628643.2	551	267.737	0	0
ENST00000630909.2	837	542.248	0	0
ENST00000627130.1	546	262.764	0	0
ENST00000432703.1	490	207.346	12	4.36274
ENST00000425631.5	1367	1071.82	0	0
ENST00000434181.5	655	365.3	0	0
ENST00000432447.5	500	217.24	0	0
ENST00000414868.1	546	262.764	0	0
ENST00000438719.1	558	274.71	0	0
ENST00000431046.1	646	357.954	0	0
ENST00000542839.1	560	276.683	0	0
ENST00000429293.1	720	427.478	0	0
ENST00000417456.1	3163	3773.48	1228.92	24.5502
ENST00000311990.4	1887	2688.67	10.6234	0.29785
ENST00000432683.1	459	176.478	1	0.427154
ENST00000425881.1	283	22.8159	3	9.91194
ENST00000444348.1	852	917.929	24	1.97095
ENST00000373226.2	539	255.789	5	1.47354
ENST00000606838.1	396	114.713	11	7.2286
ENST00000466576.2	367	86.5803	19.9234	17.3467
ENST00000479395.2	385	104.066	148.077	107.264
ENST00000373137.2	1838	1817.78	75.9185	3.14833
ENST00000451375.1	463	180.46	0	0
ENST00000413901.1	596	312.449	0	0
ENST00000424989.1	1395	1495.89	156.578	7.89052
ENST00000433474.1	700	674.851	1	0.111703
ENST00000419993.1	481	198.386	58.0438	22.0556
ENST00000432922.5	593	374.775	15.3997	3.09754
ENST00000428151.1	573	287.783	41.447	10.8568
ENST00000431311.1	2283	1987.82	0	0
ENST00000634732.1	1239	1121.35	10.7838	0.724941
ENST00000634464.1	1201	906.448	2.21622	0.184308
ENST00000634298.1	1107	811.822	0	0
ENST00000452971.1	790	495.297	0	0
ENST00000622355.1	2171	2094.8	1261	45.3782
ENST00000433671.2	630	345.358	135.996	29.6845
ENST00000456813.1	441	158.624	28.4108	13.5017
ENST00000443161.1	424	141.758	10.5936	5.63338
ENST00000602528.1	446	163.529	0	0
ENST00000289890.7	558	274.71	18.0435	4.95131
ENST00000441741.5	493	392.809	27.6625	5.30864
ENST00000331856.6	2241	2610.72	442.198	12.7682
ENST00000458207.5	693	591.846	24.3086	3.09617
ENST00000450157.5	599	528.64	60.6331	8.64617
ENST00000431553.5	497	358.429	0	0
ENST00000417869.5	487	388.636	72.3534	14.0343
ENST00000440190.1	681	588.593	608.845	77.9768
ENST00000415255.1	551	267.737	0	0
ENST00000424418.1	304	29.8597	0	0
ENST00000566366.1	1196	1414.01	23	1.22617
ENST00000418255.1	785	490.345	0	0
ENST00000567508.1	1541	1061.17	332	23.5845
ENST00000565390.2	2449	1667.78	789	35.6626
ENST00000624658.1	1005	623.985	19	2.29538
ENST00000450713.1	605	321.198	18.1246	4.25374
ENST00000453437.1	432	149.7	0	0
ENST00000437060.1	546	262.764	0	0
ENST00000440100.1	471	188.406	8	3.20088
ENST00000606277.1	1687	1710.44	280	12.3403
ENST00000414199.1	471	188.406	0	0
ENST00000626479.1	4800	7512.01	527.208	5.29054
ENST00000425554.1	623	333.266	3	0.678586
ENST00000445073.1	709	416.601	0	0
ENST00000422305.1	514	231.151	0	0
ENST00000429109.1	394	112.804	30.1481	20.1469
ENST00000440249.1	265	39.604	0	0
ENST00000436207.2	661	370.266	0	0
ENST00000414339.2	601	392.883	33	6.33176
ENST00000447572.1	484	201.386	6	2.24592
ENST00000536543.5	983	753.166	16.4077	1.64222
ENST00000421630.5	471	188.406	0	0
ENST00000438946.6	425	142.758	1.15087	0.607713
ENST00000605272.1	516	233.128	17.9562	5.80622
ENST00000414798.1	514	301.734	32.4097	8.09701
ENST00000416809.2	627	342.147	1.02117	0.224988
ENST00000444563.5	610	395.984	39.9293	7.60131
ENST00000425076.1	536	252.84	45.0495	13.4313
ENST00000431759.5	1124	711.067	165.294	17.5235
ENST00000416689.1	3075	3795.02	172.305	3.42261
ENST00000424948.1	661	400.854	169.686	31.9106
ENST00000436713.1	731	361.855	2	0.416649
ENST00000396885.2	699	406.601	0	0
ENST00000444386.1	545	261.764	4	1.15193
ENST00000398804.7	592	544.24	120.462	16.6853
ENST00000439057.5	686	463.277	138.041	22.4617
ENST00000434346.1	833	613.411	48.2103	5.92465
ENST00000453015.1	647	333.389	4.18507	0.946294
ENST00000418149.1	416	133.895	0	0
ENST00000437753.1	469	186.406	19.53	7.89798
